"project_acronym","project","main_researcher","institution","details_project","budget_project","date_start_project","date_end_project"
"VEWA","Ve-Wa:Vegetation effects on water flow and mixing in high-latitude ecosystems–Capability of headwater catchments to mediate potential climate change","Doerthe Tetzlaff","THE UNIVERSITY COURT OF THE UNIVERSITY OF ABERDEEN","""Our ability to predict consequences of climate change on the physical, chemical and biological characteristics of water resources in high-latitude uplands is a formidable challenge. These regions are highly sensitive to climate induced changes as small differences in temperature determine the status of frozen ground, the state of precipitation, and the magnitude and timing of snow accumulation and melt. Recent findings in mid-latitude regions suggest that there exist “two water worlds” – mobile water expressed in the stream and tightly bound water represented by plant water – which means that a substantial proportion of precipitation that infiltrates the soils becomes isolated from discharge to the streams, indicating that the composition of stream water alone is insufficient to understand routing and transit times of water in catchments. These findings challenge the core assumptions in our perceptual models of how we think biophysical systems work and how we make predictions of water partitioning of how inputs of water are evaporated, stored and reach the streams. High-latitude headwater catchments are characterised by lower evapotranspiration, consequent lower soil moisture deficits and different seasonality than mid-latitude sites. This interdisciplinary proposed project will address novel questions on vegetation-water linkages by using isotopic tracers in different waters as """"fingerprints"""" across different spatial scales along a climate gradient as a precursor to understand future response to change in high-latitude upland catchments. The proposed project will – for the first time - examine the mechanisms of water storage, transmission and release and possible implications of climate change in high-latitude ecosystems along a cross-regional transect. Such geographically extensive comparison has never been conducted in these environments. This allows the consistency of processes and drivers to be assessed across broad spatial scales.""","1500000","2013-10-01","2018-09-30"
"VIAMASS","Visual Recognition Made Super-Scalable","Herve Jegou","INSTITUT NATIONAL DE RECHERCHE ENINFORMATIQUE ET AUTOMATIQUE","Hundreds of billions of images are hosted on the World Wide Web. There is a huge interest in mining information in large image collections based on visual content. Direct applications are the automatic organization of visual datasets, visual navigation, object recognition, and the traditional query-by-sample search.

Although recent breakthroughs allow the search in millions of images on a single server with increasing quality, the accuracy of automatic recognition remains low compared to human’s visual analysis. I believe that significant progress is still achievable by a major shift in the paradigm underpinning the image representation: an image should be described with respect to the context provided by the image collection.

The main objective of VIAMASS is to automatically discover visual links within a very large collection of images. These “visual hyper-links” will connect the objects across the images of the collection. This raises a major obstacle with respect to scalability: cross matching all the images is of quadratic complexity when performed with a brute-force approach. To this end, VIAMASS addresses issues at the frontier of the current state of the art in computer vision and signal processing: How to exploit the context provided by the collection to enrich the image representation? How to exploit and magnify recent signal processing and coding techniques to efficiently compare sets of vectors? How to automatically produce geometrical models of objects with little or no supervision? At the end, the ultimate challenge is to invent scalable solutions for the automatic discovery of visual links across images.

My research program impacts the whole processing chain of visual search, from the description level to the mining algorithms that will break the complexity lock.","1498627","2014-04-01","2019-03-31"
"VIBCONTROL","Vibronic control of organic electronic devices","Artem Bakulin","IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE","Organic electronics (OE) is an expanding research field that exploits the electronic functionalities of organic molecules to make them robust and cost-efficient building blocks for future electronic devices. Due to the ‘soft’ character of organic materials, their electronic properties are defined by vibronic coupling (VC) phenomena which are a result of the interaction between electron and nuclear dynamics of the molecule.
This research program aims to unlock a new direction of experimental studies investigating and exploiting VC in OE devices by using optical control of nuclear motion.
The growing awareness that VC underlies diverse phenomena from physics to biology stimulates a broad interdisciplinary effort to address this issue. However, in the field of OE, the lack of synergy between device and optical studies holds the potential functionality offered by VC effects from being attained. In 2012, I proposed a direct route to control the performance of OE devices by optically switching the vibronic states of the molecules. Though this work came specifically in connection with organic photovoltaics, it provides the starting point for a more fundamental and broad reaching of VC phenomena. The proposed research program will use this opportunity. I will apply state-of-the-art developments in infrared light shaping to create a well-defined coherent superposition of molecular vibrational motions inside devices and study their influence on electron dynamics with device-specific spectroscopic techniques.
This approach combines recent advances in ultrafast spectroscopy and OE to extend our fundamental understanding of molecular charge transport. Our methodology will become a tool for elucidating current pathways in organic nanodevices and offer access to non-equilibrium phenomena down to the level of molecular junctions. This research will lead to the development of new design rules for OE materials serving future advances in molecular electronics, computing and sensing.","1497257","2015-06-01","2020-05-31"
"VIDEOLEARN","Video and 3D Analysis for Visual Learning","Thomas Stefan Brox","ALBERT-LUDWIGS-UNIVERSITAET FREIBURG","""Reliable recognition of thousands of object and action categories is today's key challenge in computer vision. Most contemporary approaches are based on supervised learning algorithms to train object classifiers. While manual annotation has become easier in recent years, it is still not scalable to a large set of categories. Moreover, as it is usually based on human language it does not reflect the visual characteristics of objects, but tries to establish high-level links that should actually be learned after appropriate visual features have been captured.

In this proposal, we aim at reducing the manual labeling effort by making use of the natural organization of visual data as it is provided by a video stream. In the same setting, we also aim at learning a more sophisticated structural representation of objects. Rather than manually specifying parts and attributes of objects that have a counterpart in language, we will seek correlated visual patterns by letting the data speak. Exploiting the natural arrangement of images in video and the inherent 3D scene structure is decisive, since weakly correlated images as obtained from photo collections might not contain rich enough relationship information.

We will also consider the active observer setting, i.e., where the camera can be moving. This allows extracting far more information, but also requires detailed control of the low-level and mid-level computer vision techniques involved, particularly motion estimation and tracking. The importance of these components is often underestimated in contemporary visual learning approaches.

Apart from the impact on the field of computer vision itself, the improved performance in visual recognition that we anticipate in this project has direct consequences for many important applications, particularly automotive systems and robotics, where the use of visual sensory input is more and more considered one of the most important components of future systems.""","1462800","2012-01-01","2016-12-31"
"VirBAcous","Virtual building acoustics: a robust and efficient analysis and optimization framework for noise transmission reduction","Edwin REYNDERS","KATHOLIEKE UNIVERSITEIT LEUVEN","Achieving a sufficient sound insulation of buildings is a complex problem since multiple transmission paths are important, uncertainties can have a large effect, and acoustic performance requirements often conflict with structural and thermal requirements. Furthermore, accurate vibro-acoustic modelling across the entire building acoustics frequency range presently requires a huge computational effort. As a result, the acoustic development of building systems is usually based on general design rules, insufficiently accurate prediction models and many experimental prototype tests. Such development is costly and time consuming, and leads to suboptimal designs. This project therefore aims to develop an efficient yet sufficiently accurate prediction framework for the acoustic design of building systems which takes all uncertainties into account and which opens the way for design optimization. Four fundamental breakthroughs are required. First, a new approach to high-frequency subsystem modelling will overcome the limitations of the current statistical energy analysis paradigm and handle a high degree of geometric and material complexity. Second, a modelling framework for built-up systems will be developed, which incorporates different component model types and which switches between them as the frequency increases. The third development consists of quantifying the combined effect of all uncertain parameters on the overall sound insulation performance in a logically consistent and computationally efficient way. Finally, a robust optimization approach that spans the entire building acoustics frequency range and that accounts for all relevant non-acoustic performance criteria as well will be developed. Each development will be complemented by showcase applications in building acoustics, yet the fundamental nature of the developments make that they will have a profound impact in all disciplines where the study and/or control of mechanical wave propagation are important.","1386875","2017-08-01","2022-07-31"
"VISCUL","Visual Culture for Image Understanding","Vittorio Ferrari","THE UNIVERSITY OF EDINBURGH","The goal of computer vision is to interpret complex visual scenes, by recognizing objects and understanding their spatial arrangement within the scene. Achieving this involves learning
categories from annotated training images. In the current paradigm, each category is learned starting from scratch without any previous knowledge. This is in contrast with how humans learn, who accumulate knowledge about visual concepts which they reuse to help learning new concepts.
The goal of this project is to develop a new paradigm where computers learn visual concepts on top of what they already know, as opposed to learning every concept from scratch. We propose to progressively learn a vast body of visual knowledge, coined Visual Culture, from a variety of available datasets. We will acquire models of the appearance and shape of categories in general, models of specific categories, and models of their spatial organization into scenes. We will start learning from datasets with high degree of supervision and then gradually move to datasets with lower degrees. At each stage we will employ the current body of knowledge to support learning with less supervision. After acquiring Visual Culture from existing datasets, the machine will be ready to learn further with little or no supervision, for example from the Internet. Visual Culture is related to ideas in other fields, but no similar endeavor was undertaken in Computer Vision yet.
This project will make an important step toward mastering the complexity of the visual world, by advancing the state-of-the-art in terms of the number of categories that can be localized, and in
the variability covered by each model.  Moreover, Visual Culture is more than a mere collection of isolated categories, it is  is a web of object, background, and scene models connected by spatial relations and sharing visual properties. This will bring us closer to image understanding, the automatic interpretation of complex novel images.","1481516","2013-01-01","2017-12-31"
"VISION","Video-oriented UWB-based Intelligent Ubiquitous Sensing","Dajana Cassioli","UNIVERSITA DEGLI STUDI DELL'AQUILA","Real-time (RT) sensing with enhanced video capabilities is a powerful tool capturing a significant variety of data, thus providing an excellent substrate to build up an accurate context abstraction. Machine capability of creating a good context abstraction will boost several applications. 3D video allows the recognition of objects shapes, human gestures and facial expressions, improving human-to-machine interaction. Surveillance systems, empowered by automatic recognition of gestures, will suddenly detect a threat. Facial expressions may reveal the status of elderly or disabled people. Remote driving and decision making process of robots for scientific or rescue expeditions will improve. VISION aims to developing an innovative infrastructure providing RT sensing services, with particular emphasis on 3D video, with mobile and context-aware operation. Hence, it will address the numerous challenges raised by the limitations of current technology for wireless sensor networks. VISION will exploit the 60 GHz UWB radios enabling broadband transmissions, miniaturized devices and reduced interference. Due to the inherent high resource consumption of broadband wireless necessary for RT 3D video, VISION sensor network will be optimized at all layers. A comprehensive channel model, based on propagation measurements, will be derived and used to design the UWB signal waveform for reliable broadband transmission. Novel techniques to manage the huge number of nodes required by ubiquitous sensing, and innovative tools to support the development process of intelligent services will be designed. Full cross-layer adaptability to external conditions will assure the system be able to manage the available resources to provide the best achievable quality of service guaranteeing graceful degradation for video, audio and sensing applications. Innovative sensor nodes based on the above concepts will be designed and prototyped for the VISION demonstration.","1173680","2010-04-01","2015-03-31"
"Vision-In-Flight","Neuromechanics of Insect Vision during Aerial Interactions with Applications in Visually Guided Systems","Huai-Ti LIN","IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE","This project investigates how biological vision operates under the fastest and most challenging motion condition: flight. Specifically, we look beyond gaze stabilization and focus on directed gaze control such as object tracking. Flying insects are ideal model for studying vision in flight due to its relatively simple nervous system and the fixed optics of the compound eyes. Insect vision has elucidated fundamental circuitries of vision via psychophysics, electrophysiology, computational modelling, and connectomics. However, we have limited knowledge on how insects use vision in free flight and what visual signals influence motor control during aerial interactions. This study aims to reveal how flying insects direct their gaze in-flight to extract target information for guidance and to facilitate the execution of complex flight manoeuvres. To achieve this objective, we will advance three emerging techniques: 1) high-precision insect scale motion capture; 2) ultralight wireless neural telemetry; 3) virtual reality for freely flying insects. I was involved in developing the first two methods and they both still require significant development to suit this project. The third budded from a successful ERC project, which enabled virtual reality experiments with freely behaving animals, and also requires additional breakthrough in order to accommodate this project. By advancing these techniques together, we can fully control the visual input of a freely flying insect and simultaneously record relevant visual signals. While modern image sensors and image processing can sometimes surpass biological vision, machine vision systems today still cannot utilize some tactical benefits of directed gaze control. Indeed, learning how to look is one of the best lessons a visually guided system can take from biology. This research informs the control of autonomous systems such as self-driving cars, unmanned aerial taxi, and robotic courier which will revolutionize the upcoming era.","1499968","2018-11-01","2023-10-31"
"VISIRday","VISible to far-IR optical tuning: passive DAYtime cooling by hierarchical structures and hybrid materials","Markus Retsch","UNIVERSITAET BAYREUTH","Efficient daytime cooling without the need for a heat engine is an essential technology to lower our overall energy consumption. Nature offers a chance to off-load heat directly into the cold outer space via the so-called “sky window”: a spectral range from 8 – 13 µm, where our atmosphere is transparent. Concomitantly, solar radiance influx needs to be minimized by scattering and reflection, which would counteract the radiatively removed energy. VISIRday aims to provide ground-breaking new materials and concepts to emit thermal energy directly into this transparent sky window. A radically holistic approach is necessary to understand and design the optical properties of nano- and mesostructured materials over the entire spectral range (300 nm – 20 µm), with the mid-IR sky window being fully emissive, and all other spectral wavelengths being fully reflective. I will therefore combine top-down direct write lithography with intricate bottom-up colloidal self-assembly to device hierarchically structured systems fully addressing these stringent optical properties. A new material class – surface phonon polariton supporting nano- and mesoparticles – with adjustable absorption properties in the mid-IR range, will take a leading role as novel colloidal building block. In combination with polymers and metallic nanostructures my team will demonstrate hybrid structures with finely adjusted and even externally tuneable optical properties. Simulations based on finite element modelling to conceive optimum design rules will complement the experimental work. Inspired by examples from nature, namely white beetles and the Saharan silver ant, I will push the fundamental insights towards novel technologies such as radiative daytime cooling paints and fibres. I am convinced that this project provides the urgently needed materials and concepts to add radiative daytime cooling to the existing mix of green energy technologies.","1487637","2017-03-01","2022-02-28"
"VISLIM","Visual Learning and Inference in Joint Scene Models","Stefan Roth","TECHNISCHE UNIVERSITAT DARMSTADT","""One of the principal difficulties in processing, analyzing, and interpreting digital images is that many attributes of visual scenes relate in complex manners. Despite that, the vast majority of today's top-performing computer vision approaches estimate a particular attribute (e.g., motion, scene segmentation, restored image, object presence, etc.) in isolation; other pertinent attributes are either ignored or crudely pre-computed by ignoring any mutual relation. But since estimating a singular attribute of a visual scene from images is often highly ambiguous, there is substantial potential benefit in estimating several attributes jointly.
The goal of this project is to develop the foundations of modeling, learning and inference in rich, joint representations of visual scenes that naturally encompass several of the pertinent scene attributes. Importantly, this goes beyond combining multiple cues, but rather aims at modeling and inferring multiple scene attributes jointly to take advantage of their interplay and their mutual reinforcement, ultimately working toward a full(er) understanding of visual scenes. While the basic idea of using joint representations of visual scenes has a long history, it has only rarely come to fruition. VISLIM aims to significantly push the current state of the art by developing a more general and versatile toolbox for joint scene modeling that addresses heterogeneous visual representations (discrete and continuous, dense and sparse) as well as a wide range of levels of abstractions (from the pixel level to high-level abstractions). This is expected to lead joint scene models beyond conceptual appeal to practical impact and top-level application performance. No other endeavor in computer vision has attempted to develop a similarly broad foundation for joint scene modeling. In doing so we aim to move closer to image understanding, with significant potential impact in other disciplines of science, technology and humanities.""","1374030","2013-06-01","2018-05-31"
"VISUAL-MS","Visualising Supramolecular Assembly by 
preparative Mass Spectrometry","Giovanni Costantini","THE UNIVERSITY OF WARWICK","""The aim of VISUAL-MS is to investigate the structure and the assembly of individual functional adsorbed molecules with sub-nm resolution. This is an essential and still missing step in the development of a molecular scale foundation of many contemporary research fields. In order to achieve these goals, ultra high resolution scanning probe microscopy techniques are needed. However, these require that complex molecular units are deposited onto well-defined substrates under perfectly controlled conditions and that they are analysed in-situ. This is beyond the current state-of-the-art. In fact, thermal sublimation in ultra high vacuum is the strategy of choice for small, heat-resistant molecules but big functional (bio)molecules are not compatible with this process. VISUAL-MS will address this challenge by adapting a technique developed in mass spectrometry for transferring intact fragile molecules into the gas phase and by combining this with in-situ scanning probe microscopy. This interdisciplinary approach will expand the boundaries of modern surface science by enabling to apply its powerful diagnostic techniques to almost any type of complex functional molecule. It represents an essential step change in analytical capability and will provide groundbreaking new insight into fundamental molecule-substrate interactions. VISUAL-MS will apply this innovative instrumentation to explore the adsorption, mutual interaction and real-time dynamics of peptides on surfaces. The planned experiments will allow to determine which functional groups in a peptide interact with a substrate of given structure and chemistry and to directly visualise, for the first time, the secondary structure of individual peptides with sub-molecular resolution. These breakthrough achievements will open new horizons in the basic understanding of molecule-surface interactions and serve as a reference in the formulation of rationale protocols for the fabrication of (bio)molecular functionalised substrates""","1578211","2013-01-01","2017-12-31"
"VNALG","Von Neumann algebras, group actions and discrete quantum groups","Stefaan Vaes","KATHOLIEKE UNIVERSITEIT LEUVEN","Von Neumann algebras, and more specifically II_1 factors, arise naturally in the study of countable groups and their actions on measure spaces. A central, but extremely hard problem is the classification of these von Neumann algebras in terms of their group/action data. Breakthrough results were recently obtained by Sorin Popa. I presented a combined treatment of these in my Bourbaki lecture notes. In a joint work of Popa and myself, this gave rise to the full classification of certain generalized Bernoulli II_1 factors. In a recent article of mine, it lead for the first time to a family of II_1 factors for which the fusion algebra of finite index bimodules could be entirely computed. Popa's methods open up a wealth of research opportunities. They bring within reach the solution of several long-standing open problems, that constitute the main objectives of the first part of this research proposal: complete descriptions of the finite index subfactor structure of certain II_1 factors, constructions of II_1 factors with a unique group measure space decomposition and computations of orbit equivalence invariants for actions of the free groups. Even approaching these problems would have been completely hopeless just a few years ago. Other constructions of von Neumann algebras arise in the theory of discrete quantum groups. The first rigidity results for quantum group actions on von Neumann algebras constitute the main objective of this second part of the research proposal. Finally, we aim to deal with another connection between quantum groups and operator algebras, through the study of non-commutative random walks and their boundaries. The main originality of this research proposal lies in the interaction between two branches of mathematics: operator algebras and quantum groups. This is clear for the second part of the project and occupies a central place in the first part through subfactor theory.","500000","2008-09-01","2013-08-31"
"VOLATILIS","Origin of volatile elements in the inner Solar System","Evelyn FÜRI","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","The objective of project VOLATILIS is to investigate the origin(s) of volatile elements on Earth and other planetary bodies in the inner Solar System. Since primitive and differentiated asteroids, planetary embryos, and the Earth-Moon system represent different stages of planet formation, studies of chondritic meteorites and samples from Vesta, Mars, the Moon, and Earth can provide constraints on the evolution of planetary volatiles from primordial to present-day compositions. However, indigenous volatiles in extraterrestrial samples are often masked by solar and cosmogenic contributions. Only combined analyses of noble gases and other volatiles (N, H) allow the observed volatile signatures to be resolved into constituent components (atmospheric, solar, cosmogenic, indigenous). The Centre de Recherches Pétrographiques et Géochimiques (Nancy, France), the PI’s host institute, is the only laboratory that is equipped with static noble gas mass spectrometers for coupled N-noble analyses of small-sized samples, and with two secondary ionization mass spectrometers for non-destructive volatile element measurements. By coupling these high-precision analytical techniques, we will be able to reliably characterize indigenous planetary volatiles, and to assess the importance of volatile storage during primary accretion or late addition via comets and meteorites. Furthermore, we aim to develop the protocols for N isotope analysis by ion microprobe and by static mass spectrometry in multi-collection mode; these methods will allow us to target micron-sized samples (such as melt inclusions) for N analyses and to improve the analytical precision for coupled N-noble gas studies, respectively. The new data obtained here can be integrated as critical parameters into geochemical and astrophysical models of volatile accretion and fluxes in the inner Solar System, and they are expected to be of great interest to the geo-/cosmochemistry, astrophysics, and astrobiology communities.","1396300","2017-02-01","2022-01-31"
"VORTEX","Exploring electron vortex beams","Johan Verbeeck","UNIVERSITEIT ANTWERPEN","In this project I will exploit new possibilities opened up by the recent succesful demonstration of our ability to create electron vortex beams in a transmission electron microscope. Electron vortex beams carry a helical phase and angular momentum around their propagation axis. They form the counterpart of optical vortex beams that were invented almost 20 years ago and have lead to many exciting new applications in optics.
In preliminary experiments with electron vortices I have demonstrated (Verbeeck et al. Nature, 467,301 (2010)) their usefulness for magnetic state mapping. This property makes them very desirable for solid state physics and materials science since no other tool exists that can map the local magnetisation inside materials with atomic scale resolution. We aim to develop atomic resolution magnetic state mapping and apply it to gain insight in spintronics devices as well as in topological insulators. We will follow two routes to this end, one using the combination of electron vortex beams and electron energy loss spectroscopy (EELS) and another making use of the Aharanov Bohm effect in elastic scattering.
Preliminary experiments proof that both routes are feasible and a wealth of interesting physics is ready to be explored.
We will also explore the potential of electron vortex beams to manipulate nanoparticles and transfer angular momentum from the electron beam to these particles. This would open up the road to assemble and create nanoscale devices and to study the fundamental laws that govern the interaction between vortex beams and particles with different physical properties.

I believe that this highly creative and innovative idea, combined with access to a state of the art transmission electron microscope and a young PI with a proven track record is combined into a project proposal entirely in the spirit of the ERC starting grants.","1458300","2012-01-01","2016-12-31"
"vortex","Taking extrasolar planet imaging to a new level with vector vortex coronagraphy","Olivier Absil","UNIVERSITE DE LIEGE","Vector vortex coronagraphs (VVC) are among the most promising solutions to directly image faint extrasolar planets by dimming the glare of their nearby host star. Manufacturing and efficiently operating such devices is however a challenging enterprise, especially in the thermal infrared regime where warm planets radiate most of their energy. For several years, we have been developing a new class of VVC, called the Annular Groove Phase Mask (AGPM) coronagraph. Etched on a diamond substrate, this coronagraph can be operated at any wavelength, including the thermal infrared, thanks to the excellent transparency properties of diamond. We are now at a stage where the first components have been manufactured and tested. The proposed research program has three main goals. First, we will install and exploit the first generation of AGPM coronagraphs on large telescopes in world-leading observatories. By providing a means to efficiently cancel the starlight in the thermal infrared regime for the first time, our AGPMs will significantly contribute to the discoveries and characterisation of exoplanets beyond a few astronomical units. Second, we aim at developing new AGPM coronagraphs for the next generation of imaging instruments. We will particularly focus our developments on the instruments planned for the future extremely large telescopes, which will bring the direct imaging of exoplanets to a new level. Finally, we will study, develop and test a ground-breaking concept that could improve very significantly the on-sky performance of VVCs in general. This concept is based on the quantum properties of light and in particular on the fact that an optical vortex induces an orbital angular momentum on the input starlight. We propose to use an interferometric device to sort photons based on their orbital angular momentum, so as to separate the planetary light from the residual starlight (including the speckles created by atmospheric turbulence) at the output of the coronagraph.","1499200","2013-09-01","2018-08-31"
"WAAXT","Wave-modulated Arctic Air-sea eXchanges and Turbulence","Peter SUTHERLAND","INSTITUT FRANCAIS DE RECHERCHE POUR L'EXPLOITATION DE LA MER","Wave-modulated Arctic Air-sea eXchanges and Turbulence (WAAXT) is a project designed to improve our understanding of ocean boundary layer processes in a changing Arctic Ocean.  Sea ice extent in the Arctic Ocean has been decreasing since the beginning of the satellite era, meaning that open-water, as opposed to under-ice, oceanographic processes are becoming increasingly important for Arctic dynamics.  One of the most fundamental differences between the open and ice-covered oceans is the presence of surface waves.  Surface waves and wave-driven processes drastically alter air-sea fluxes, upper-ocean turbulence, and the dominant dynamical balance in the upper ocean.  

WAAXT will be based on a series of field experiments to study the small-scale processes associated with this emerging wave climate, with a particular focus on near-surface turbulence.  Three major effects of wave processes will be targeted: 1) Modification and suppression of ice formation by wave motions and the associated elevated near-surface turbulence.  2) Physical breakup of sea ice by wave motions, and the associated contributions to the modification of air-sea fluxes, upper-ocean structure, and melt rates.  3) Interactions between wave-driven turbulence, especially breaking and Langmuir circulations, with the unique salinity-based stratification in the Arctic basin.  A key aspect of these processes is their horizontal variability, which will be captured using a multi-platform approach.  Experimental work will begin in a natural laboratory in the Saint Lawrence Estuary and move to the Arctic as scientific and technical capacity is developed.

The long-term goal for WAAXT is to produce the data and parameterizations needed to understand climate-scale feedbacks associated with the emerging wave climate in the Arctic basin.","2000000","2019-01-01","2023-12-31"
"WALLXBIRGEOM","Wall-crossing and Birational Geometry","Arend Bayer","THE UNIVERSITY OF EDINBURGH","We will use modern techniques in algebraic geometry, originating from string theory and mirror symmetry, to study fundamental problems of classical flavour.  More concretely, we apply wall-crossing in the derived category to the birational geometry of moduli spaces.

Bridgeland stability is a notion of stability for complexes in the derived category.  Wall-crossing describes how moduli spaces of stable complexes change under deformation of the stability condition, often via a birational surgery occurring in its minimal model program (MMP). This relates wall-crossing to the most basic question of algebraic geometry, the classification of algebraic varieties.

Our previous results additionally provide a very direct connection between Bridgeland stability conditions and positivity of divisors, the main tool of modern birational geometry.  This makes the above link significantly more effective, precise and useful.  We will exploit this in the following long-term projects:

1. Prove a Bogomolov-Gieseker type inequality for threefolds that we conjectured previously. This would provide a solution in dimension three to well-known open problems of seemingly completely different nature: the existence of Bridgeland stability conditions, Fujita's conjecture on very ampleness of adjoint line bundles, and projective normality of toric varieties.

2. Study the birational geometry of moduli space of sheaves via wall-crossing, adding more geometric meaning to their MMP.

3. Prove that the MMP for local Calabi-Yau threefolds is completely induced by deformation of Bridgeland stability conditions. The motivation is a derived version of the Kawamata-Morrison cone conjecture, classical questions on Chern classes of stable bundles, and mirror symmetry.

4. Answer major open questions on the  birational geometry of the moduli space of genus zero curves (for example, the F-conjecture) using exceptional collections in the derived category and wall-crossing.","1282912","2013-12-01","2018-11-30"
"WAPITI","Water-mass transformation and Pathways In The Weddell Sea: uncovering the dynamics of a global climate chokepoint from In-situ measurements","Jean-Baptiste Bruno Sallée","SORBONNE UNIVERSITE","Deep water formed around the Antarctic continent drives the world ocean circulation. 50-70% of this deep water is formed within only about 10% of the Antarctic circumpolar band: the Weddell Sea. Subtle changes in the circulation of the Weddell Sea can lead to major changes in floating ice-shelves, with critical implications for global sea-level, the production of deep water and the global ocean overturning circulation. Despite these critical climate implications, the Antarctic shelf circulation remains poorly understood. 

I propose an ambitious project at the crossroads of experimental and numerical oceanography. By drawing on the strengths of each discipline I will explore the regional water-mass pathways in the Weddell Sea: an unchartered cornerstone for understanding the polar ocean circulation and its links to global climate. A key issue facing climate scientists will be addressed: “What sets the tridimensional water-mass structure and pathways in the Weddell Sea and modulates the flow of deep waters between the Antarctica ice-shelves and the global ocean circulation?”

To address this question I propose to investigate several key aspects of the Weddell Sea system: the dynamical forcing of the Weddell gyre and its response to atmospheric variability; the forcing and the circulation on the continental shelf and its interaction with the gyre; and the time-scale and mixing associated with bottom water sinking along the continental shelf. WAPITI approaches these objectives through a series of innovations, including (i) an ambitious field experiment to investigate the shelf circulation and processes, (ii) a powerful conceptual framework applied for the first time to a realistic eddy-resolving model of the Weddell gyre, and (iii) a novel instrument that will be developed to directly observe the sinking of deep water into the abyssal ocean for the first time. Collectively, the project will contribute a new insight into global climate feedbacks.","1998125","2015-05-01","2021-04-30"
"WARMCOASTS","Sea level and extreme waves in the Last Interglacial","Alessio ROVERE","UNIVERSITAET BREMEN","Past interglacials are periods of the earth’s history when climate was warmer than the pre-industrial, and are often considered as process-analogs for a future warmer climate. During the Last Interglacial (LIG, ~128-116 ka), polar temperatures were few degrees higher than pre-industrial, ice sheets were smaller and sea level was higher than today. Studies also suggest that waves in the North Atlantic might have been more intense in the LIG than today. Understanding sea level changes and extreme wave intensity during the LIG is key to assess the future of the world’s ice sheets and coastlines under warmer climatic conditions. For this reason, the LIG is the most studied among past interglacials, but recent research highlighted that the LIG is far from a ‘solved problem’, especially for which concerns sea level and coastal dynamics. There are in fact three relevant research gaps. 
First, widely accepted estimates suggest that LIG global mean sea level was 5-10 m higher than today, but recent studies proved that previously unrecognized processes concur to make current LIG sea level estimates very uncertain. Second, it is unclear if LIG sea level was characterized by rapid oscillations that caused sea level to rise abruptly at rates higher than at present (up to 10 mm per year in the LIG, compare with 3 mm per year today). A third research gap is related to the highly controversial notion that the LIG was characterized by ‘superstorms’, producing waves more intense than those observed today. 
In this project, we want to employ a multidisciplinary combination of methods to study Last Interglacial peak sea level, sea level variations and extreme waves. WARMCOASTS will develop both new datasets and merge methods from geology, earth modeling, surface processes modeling and hydrodynamic modeling to advance the current state-of-the-art. The results of this project will be functional to better understand coastal processes under slightly warmer climate conditions.","1499965","2019-04-01","2024-03-31"
"WASCOSYS","Wavefunctions for strongly correlated systems","Norbert Schuch","MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV","Strongly correlated quantum systems, which are at the heart of many open problems in condensed matter,
quantum chemistry, or high-energy physics, are challenging to understand due to their intricate entanglement
structure. Quantum information theory provides the right framework to characterize highly entangled
states and has given rise to the class of Tensor Network States, which capture the entanglement structure of
strongly correlated systems by building the global wavefunction from local tensors and provide an efficient
description of their low-energy states.

In this project, we will develop a framework for the systematic study of strongly correlated systems using
exact wavefunctions based on Tensor Network States. It will give us the tools to construct controlled families
of states by encoding the relevant structure of the system directly into the wavefunction, rather than a
Hamiltonian, and to study their behavior. Since the tensor describing the wavefunction also gives rise to an
associated Hamiltonian, this establishes a framework for building solvable models with the tensor as the
new central object.

The novelty of our approach lies in the fact that quantum information gives us the tools to systematically
construct wavefunctions for general strongly correlated systems, while at the same time, encoding the
structure of the problem directly into the wavefunction results in small families of states with a direct
physical interpretation of the parameters, unlike for fully variational approaches.

We will apply our framework to study the physics of a range of strongly correlated models, in particular
frustrated fermionic and spin systems, in order to understand the possible physics they can exhibit. This
will enhance our understanding of the physics of strongly correlated systems, and, together with numerical
results, experimental findings, and quantum simulations, ultimately lead to new applications and materials
based on strongly correlated matter.","1338500","2015-03-01","2020-02-29"
